mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_num_leaves,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.012702226638793945,0.0019435153611526256,0.003931808471679688,0.0019274956207267324,0.01,3,50,15,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'num_leaves': 15}",-0.14289466666694384,-0.14308490983012376,-0.15957973362944197,-0.15608389278235868,-0.1651068200017627,-0.1533500045821262,0.008935240776766797,79
0.013597536087036132,0.0019247482565064474,0.0030202865600585938,0.0005505387833576698,0.01,3,50,31,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'num_leaves': 31}",-0.14289466666694384,-0.14308490983012376,-0.15957973362944197,-0.15608389278235868,-0.1651068200017627,-0.1533500045821262,0.008935240776766797,79
0.012857913970947266,0.0018687623527108691,0.003147602081298828,0.0008103913648940882,0.01,3,50,50,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'num_leaves': 50}",-0.14289466666694384,-0.14308490983012376,-0.15957973362944197,-0.15608389278235868,-0.1651068200017627,-0.1533500045821262,0.008935240776766797,79
0.019005298614501953,0.0022605667403179314,0.003657102584838867,0.0006141959503057947,0.01,3,100,15,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 15}",-0.13970725241276083,-0.13679739862162402,-0.15430058998430507,-0.15108322566037885,-0.16433126518828872,-0.14924394637347146,0.01002441883164748,70
0.01993556022644043,0.005021767311822997,0.0044800758361816405,0.002337395168423646,0.01,3,100,31,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 31}",-0.13970725241276083,-0.13679739862162402,-0.15430058998430507,-0.15108322566037885,-0.16433126518828872,-0.14924394637347146,0.01002441883164748,70
0.017278003692626952,0.001392118463268354,0.0030429840087890627,0.0006647426113344725,0.01,3,100,50,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 50}",-0.13970725241276083,-0.13679739862162402,-0.15430058998430507,-0.15108322566037885,-0.16433126518828872,-0.14924394637347146,0.01002441883164748,70
0.028757429122924803,0.0027736981645129074,0.004452562332153321,0.0005565102226044014,0.01,3,150,15,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 150, 'num_leaves': 15}",-0.13907147767102895,-0.1335766152128847,-0.15059686511991285,-0.14760305448208128,-0.1631613407857295,-0.14680187065432748,0.010171946703237839,67
0.024719381332397462,0.005112012129128651,0.0032912254333496093,0.0007346845609309513,0.01,3,150,31,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 150, 'num_leaves': 31}",-0.13907147767102895,-0.1335766152128847,-0.15059686511991285,-0.14760305448208128,-0.1631613407857295,-0.14680187065432748,0.010171946703237839,67
0.02993803024291992,0.004666293662253748,0.003782987594604492,0.0009115941652020949,0.01,3,150,50,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 150, 'num_leaves': 50}",-0.13907147767102895,-0.1335766152128847,-0.15059686511991285,-0.14760305448208128,-0.1631613407857295,-0.14680187065432748,0.010171946703237839,67
0.018134164810180663,0.003108163582801047,0.0030779361724853514,0.0006881176115803537,0.01,5,50,15,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'num_leaves': 15}",-0.13947448611892682,-0.14072539837009604,-0.15938766660067016,-0.15346229074114762,-0.16269679670725778,-0.15114932770761969,0.009502886876771463,77
0.02051377296447754,0.004239653955373402,0.0036336898803710936,0.0013816864006002477,0.01,5,50,31,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'num_leaves': 31}",-0.13947448611892682,-0.13984043004676888,-0.15945103122270726,-0.15285762282572954,-0.1623215531866942,-0.15078902468016533,0.009593739382378098,75
0.01972503662109375,0.0031821462445486785,0.0032183647155761717,0.0009359298034955871,0.01,5,50,50,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'num_leaves': 50}",-0.13947448611892682,-0.13984043004676888,-0.15945103122270726,-0.15285762282572954,-0.1623215531866942,-0.15078902468016533,0.009593739382378098,75
0.031734275817871097,0.0053744573776978504,0.004300642013549805,0.0019264736699770135,0.01,5,100,15,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'num_leaves': 15}",-0.13322986251948524,-0.13301556189118727,-0.15330701507791136,-0.14736946359458727,-0.15803945051265433,-0.1449922707191651,0.010264606385906405,66
0.0317683219909668,0.006099585541891651,0.0036913871765136717,0.0008435144256661949,0.01,5,100,31,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'num_leaves': 31}",-0.13322986251948524,-0.13095382037905173,-0.15271338273622959,-0.14639378709550982,-0.1571268112303803,-0.14408353279213135,0.010393557657117414,63
0.03466038703918457,0.00768305554458396,0.0038313865661621094,0.0009602303226713515,0.01,5,100,50,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'num_leaves': 50}",-0.13322986251948524,-0.13095382037905173,-0.15271338273622959,-0.14639378709550982,-0.1571268112303803,-0.14408353279213135,0.010393557657117414,63
0.0437779426574707,0.005316319122268405,0.004727077484130859,0.0008659833499323812,0.01,5,150,15,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 150, 'num_leaves': 15}",-0.13113709571363774,-0.12765931471900793,-0.1473897298251279,-0.14207639133050742,-0.15613966396226486,-0.14088043911010917,0.010453477709559495,57
