ds,y
2021-09-30,258.49334716796875
2021-09-30,281.9200134277344
2021-09-30,164.2519989013672
2021-09-30,149.97000122070312
2021-09-30,262.2200012207031
2021-09-30,52.470001220703125
2021-09-30,271.2200012207031
2021-09-30,219.94000244140625
2021-09-30,610.3400268554688
2021-09-30,141.5
2021-09-30,116.33999633789062
2021-09-30,102.9000015258789
2021-09-30,139.8000030517578
2021-09-30,111.6500015258789
2021-09-30,53.27999877929688
2021-09-30,360.1499938964844
2021-09-30,35.540000915527344
2021-09-30,449.3500061035156
2021-09-30,169.1699981689453
2021-09-30,54.0099983215332
2021-09-30,339.3900146484375
2021-09-30,14.15999984741211
2021-09-30,35.630001068115234
2021-09-30,133.2655029296875
2021-09-30,260.2099914550781
2021-10-01,343.010009765625
2021-10-01,35.459999084472656
2021-10-01,164.16299438476562
2021-10-01,155.36000061035156
2021-10-01,139.5800018310547
2021-10-01,35.380001068115234
2021-10-01,448.3299865722656
2021-10-01,264.6499938964844
2021-10-01,53.86000061035156
2021-10-01,136.46249389648438
2021-10-01,176.00999450683594
2021-10-01,613.1500244140625
2021-10-01,102.4499969482422
2021-10-01,360.9200134277344
2021-10-01,111.55999755859376
2021-10-01,53.02000045776367
2021-10-01,226.0
2021-10-01,275.260009765625
2021-10-01,258.4066772460937
2021-10-01,263.1600036621094
2021-10-01,142.64999389648438
2021-10-01,115.75
2021-10-01,14.15999984741211
2021-10-01,54.29999923706055
2021-10-01,289.1000061035156
2021-10-04,34.11000061035156
2021-10-04,139.13999938964844
2021-10-04,603.3499755859375
2021-10-04,100.33999633789062
2021-10-04,110.9499969482422
2021-10-04,365.6700134277344
2021-10-04,255.00999450683597
2021-10-04,223.7899932861328
2021-10-04,53.470001220703125
2021-10-04,440.1400146484375
2021-10-04,54.5
2021-10-04,173.4600067138672
2021-10-04,133.76499938964844
2021-10-04,14.350000381469728
2021-10-04,33.400001525878906
2021-10-04,260.510009765625
2021-10-04,109.0199966430664
2021-10-04,270.8599853515625
2021-10-04,326.2300109863281
2021-10-04,138.7899932861328
2021-10-04,159.48899841308594
2021-10-04,251.8600006103516
2021-10-04,52.9900016784668
2021-10-04,283.1099853515625
2021-10-04,145.02999877929688
2021-10-05,258.5
2021-10-05,161.0500030517578
2021-10-05,369.8800048828125
2021-10-05,136.177001953125
2021-10-05,109.26000213623048
2021-10-05,174.61000061035156
2021-10-05,288.760009765625
2021-10-05,332.9599914550781
2021-10-05,54.5099983215332
2021-10-05,147.41000366210938
2021-10-05,53.95000076293945
2021-10-05,260.1499938964844
2021-10-05,114.80999755859376
2021-10-05,14.289999961853027
2021-10-05,260.1966552734375
2021-10-05,271.7699890136719
2021-10-05,35.52000045776367
2021-10-05,224.4199981689453
2021-10-05,141.11000061035156
2021-10-05,53.08000183105469
2021-10-05,139.3300018310547
2021-10-05,446.239990234375
2021-10-05,634.8099975585938
2021-10-05,33.869998931884766
2021-10-05,101.80999755859376
2021-10-06,53.97999954223633
2021-10-06,175.47999572753906
2021-10-06,35.75
2021-10-06,260.9166564941406
2021-10-06,163.10049438476562
2021-10-06,293.1099853515625
2021-10-06,33.65999984741211
2021-10-06,333.6400146484375
2021-10-06,137.35400390625
2021-10-06,14.119999885559082
2021-10-06,142.0
2021-10-06,54.52999877929688
2021-10-06,275.2699890136719
2021-10-06,224.9900054931641
2021-10-06,53.709999084472656
2021-10-06,639.0999755859375
2021-10-06,103.63999938964844
2021-10-06,141.19000244140625
2021-10-06,449.3399963378906
2021-10-06,109.33999633789062
2021-10-06,113.87000274658205
2021-10-06,264.25
2021-10-06,264.0599975585937
2021-10-06,377.3200073242188
2021-10-06,153.5800018310547
2021-10-07,54.18000030517578
2021-10-07,294.8500061035156
2021-10-07,53.900001525878906
2021-10-07,142.32000732421875
2021-10-07,269.8800048828125
2021-10-07,106.4499969482422
2021-10-07,38.2599983215332
2021-10-07,35.9900016784668
2021-10-07,14.890000343322754
2021-10-07,53.880001068115234
2021-10-07,110.83000183105467
2021-10-07,274.5799865722656
2021-10-07,382.7000122070313
2021-10-07,139.1855010986328
2021-10-07,177.7100067138672
2021-10-07,452.8699951171875
2021-10-07,264.53668212890625
2021-10-07,157.22999572753906
2021-10-07,263.5400085449219
2021-10-07,165.1215057373047
2021-10-07,329.2200012207031
2021-10-07,115.27999877929688
2021-10-07,143.2899932861328
2021-10-07,631.8499755859375
2021-10-07,226.47999572753903
2021-10-08,330.04998779296875
2021-10-08,451.8500061035156
2021-10-08,105.05999755859376
2021-10-08,272.4800109863281
2021-10-08,176.74000549316406
2021-10-08,389.7200012207031
2021-10-08,261.8299865722656
2021-10-08,632.6599731445312
2021-10-08,260.0599975585937
2021-10-08,15.119999885559082
2021-10-08,110.04000091552734
2021-10-08,226.38999938964844
2021-10-08,53.810001373291016
2021-10-08,141.72999572753906
2021-10-08,35.83000183105469
2021-10-08,53.2400016784668
2021-10-08,154.36000061035156
2021-10-08,116.43000030517578
2021-10-08,37.65999984741211
2021-10-08,140.05599975585938
2021-10-08,164.43099975585938
2021-10-08,142.89999389648438
2021-10-08,266.6600036621094
2021-10-08,294.8500061035156
2021-10-08,54.119998931884766
2021-10-11,138.84750366210938
2021-10-11,114.54000091552734
2021-10-11,54.22999954223633
2021-10-11,52.18000030517578
2021-10-11,267.70001220703125
2021-10-11,627.0399780273438
2021-10-11,142.80999755859375
2021-10-11,161.25999450683594
2021-10-11,294.2300109863281
2021-10-11,263.9800109863281
2021-10-11,162.31500244140625
2021-10-11,37.41999816894531
2021-10-11,142.32000732421875
2021-10-11,273.75
